# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.nativeBytesInUse,1747110190723000000,1747110202792000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747110190723000000,1747110202792000000,2
DirectByteBufferAllocator.hits,1747110190723000000,1747110202792000000,3
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747110190723000000,1747110202792000000,41967616
FileChannelInterruptsRetryer.totalRetriedAttempts,1747110190723000000,1747110202792000000,0
FilePageCache.disposedBuffers,1747110190723000000,1747110202792000000,416
FilePageCacheLockFree.totalPagesWritten,1747110190723000000,1747110202792000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1747110190723000000,1747110202792000000,4
FilePageCache.totalPageLoadsUs,1747110190723000000,1747110202792000000,302975
StorageLockContext.competingThreads.avg,1747110190723000000,1747110202792000000,0.0
FilePageCache.pageFastCacheHits,1747110190723000000,1747110202792000000,8276
FilePageCacheLockFree.totalNativeBytesReclaimed,1747110190723000000,1747110202792000000,24576
FilePageCache.pageHits,1747110190723000000,1747110202792000000,0
FilePageCacheLockFree.totalPagesHandedOver,1747110190723000000,1747110202792000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1747110190723000000,1747110202792000000,0
FilePageCache.totalPageDisposalsUs,1747110190723000000,1747110202792000000,1778
FilePageCache.uncachedFileAccess,1747110190723000000,1747110202792000000,222
FilePageCache.pageLoadsAboveSizeThreshold,1747110190723000000,1747110202792000000,0
StorageLockContext.competingThreads.max,1747110190723000000,1747110202792000000,0
FilePageCacheLockFree.totalPagesAllocated,1747110190723000000,1747110202792000000,3
FilePageCacheLockFree.totalHeapBytesReclaimed,1747110190723000000,1747110202792000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1747110190723000000,1747110202792000000,10898
FilePageCacheLockFree.totalPagesRequested,1747110190723000000,1747110202792000000,83
DirectByteBufferAllocator.reclaimed,1747110190723000000,1747110202792000000,46
DirectByteBufferAllocator.misses,1747110190723000000,1747110202792000000,416
FilePageCache.pageLoads,1747110190723000000,1747110202792000000,416
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747110190723000000,1747110202792000000,41967616
FilePageCacheLockFree.totalBytesRequested,1747110190723000000,1747110202792000000,679936
MappedFileStorage.totalPagesMapped,1747110190723000000,1747110202792000000,0
MappedFileStorage.totalBytesMapped,1747110190723000000,1747110202792000000,0
FilePageCacheLockFree.totalBytesRead,1747110190723000000,1747110202792000000,17012
FilePageCacheLockFree.housekeeperTurnsDone,1747110190723000000,1747110202792000000,26
DirectByteBufferAllocator.disposed,1747110190723000000,1747110202792000000,373
FilePageCacheLockFree.totalPagesReadMs,1747110190723000000,1747110202792000000,2
FilePageCacheLockFree.totalBytesWritten,1747110190723000000,1747110202792000000,0
FilePageCacheLockFree.heapBytesInUse,1747110190723000000,1747110202792000000,0
StorageLockContext.competingThreads.90P,1747110190723000000,1747110202792000000,0
FilePageCacheLockFree.totalPagesReclaimed,1747110190723000000,1747110202792000000,3
FilePageCacheLockFree.totalPagesWriteMs,1747110190723000000,1747110202792000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1747110190723000000,1747110202792000000,24576
MappedFileStorage.storages,1747110190723000000,1747110202792000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1747110190723000000,1747110202792000000,0
FilePageCache.maxCacheSizeInBytes,1747110190723000000,1747110202792000000,433061888
FilePageCacheLockFree.housekeeperTimeSpentMs,1747110190723000000,1747110202792000000,48
FilePageCache.maxRegisteredFiles,1747110190723000000,1747110202792000000,1124
