# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.updates.ms,1747163160472000000,1747163171707000000,0
workspaceModel.pre.handlers.ms,1747163160472000000,1747163171707000000,0
workspaceModel.to.snapshot.ms,1747163160472000000,1747163171707000000,0
workspaceModel.updates.precise.ms,1747163160472000000,1747163171707000000,0
workspaceModel.updates.count,1747163160472000000,1747163171707000000,0
workspaceModel.init.bridges.ms,1747163160472000000,1747163171707000000,0
workspaceModel.check.recursive.update.ms,1747163160472000000,1747163171707000000,0
workspaceModel.collect.changes.ms,1747163160472000000,1747163171707000000,0
workspaceModel.loading.from.cache.ms,1747163160472000000,1747163171707000000,16
workspaceModel.loading.total.ms,1747163160472000000,1747163171707000000,23
workspaceModel.initializing.ms,1747163160472000000,1747163171707000000,0
workspaceModel.replace.project.model.ms,1747163160472000000,1747163171707000000,0
workspaceModel.update.unloaded.entities.ms,1747163160472000000,1747163171707000000,0
NonBlockingReadAction.failedExecutionsCount,1747163160472000000,1747163171707000000,0
AWTEventQueue.dispatchTimeAvgNs,1747163160472000000,1747163171707000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1747163160472000000,1747163171707000000,0
FlushQueue.waitingTime90PNs,1747163160472000000,1747163171707000000,0
FlushQueue.waitingTimeAvgNs,1747163160472000000,1747163171707000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1747163160472000000,1747163171707000000,1536691355
FlushQueue.queueSize90P,1747163160472000000,1747163171707000000,0
AWTEventQueue.eventsDispatched,1747163160472000000,1747163171707000000,0
FlushQueue.queueSizeAvg,1747163160472000000,1747163171707000000,0.0
FlushQueue.tasksExecuted,1747163160472000000,1747163171707000000,0
FlushQueue.queueSizeMax,1747163160472000000,1747163171707000000,0
ReadAction.executionsCount,1747163160472000000,1747163171707000000,137310
AWTEventQueue.dispatchTimeMaxNs,1747163160472000000,1747163171707000000,0
FlushQueue.executionTime90PNs,1747163160472000000,1747163171707000000,0
