# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.init.bridges.ms,1747028044810000000,1747028062724000000,3
workspaceModel.update.unloaded.entities.ms,1747028044810000000,1747028062724000000,0
workspaceModel.updates.count,1747028044810000000,1747028062724000000,6
workspaceModel.updates.ms,1747028044810000000,1747028062724000000,92
workspaceModel.pre.handlers.ms,1747028044810000000,1747028062724000000,0
workspaceModel.updates.precise.ms,1747028044810000000,1747028062724000000,11
workspaceModel.loading.total.ms,1747028044810000000,1747028062724000000,19
workspaceModel.to.snapshot.ms,1747028044810000000,1747028062724000000,0
workspaceModel.check.recursive.update.ms,1747028044810000000,1747028062724000000,3
workspaceModel.initializing.ms,1747028044810000000,1747028062724000000,3
workspaceModel.collect.changes.ms,1747028044810000000,1747028062724000000,0
workspaceModel.replace.project.model.ms,1747028044810000000,1747028062724000000,0
workspaceModel.loading.from.cache.ms,1747028044810000000,1747028062724000000,13
Indexes.entries.lookupDuration90PMs,1747028044810000000,1747028062724000000,6.0
Indexes.allKeys.lookupDuration90PMs,1747028044810000000,1747028062724000000,1.0
Indexes.stubs.lookupDurationAvgMs,1747028044810000000,1747028062724000000,7.6
Indexes.entries.lookupDurationMaxMs,1747028044810000000,1747028062724000000,14.0
Indexes.allKeys.lookupDurationAvgMs,1747028044810000000,1747028062724000000,0.5
Indexes.entries.lookupDurationAvgMs,1747028044810000000,1747028062724000000,3.1538461538461537
Indexes.entries.lookups,1747028044810000000,1747028062724000000,13.0
Indexes.allKeys.lookupDurationMaxMs,1747028044810000000,1747028062724000000,1.0
Indexes.allKeys.lookups,1747028044810000000,1747028062724000000,2.0
Indexes.stubs.lookupDurationMaxMs,1747028044810000000,1747028062724000000,17.0
Indexes.stubs.lookupDuration90PMs,1747028044810000000,1747028062724000000,17.0
Indexes.stubs.lookups,1747028044810000000,1747028062724000000,5.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747028044810000000,1747028062724000000,41992192
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747028044810000000,1747028062724000000,2
FilePageCache.totalPageDisposalsUs,1747028044810000000,1747028062724000000,8103
FilePageCacheLockFree.totalBytesWritten,1747028044810000000,1747028062724000000,12490
FilePageCacheLockFree.totalPagesReclaimed,1747028044810000000,1747028062724000000,4
FilePageCacheLockFree.totalHeapBytesAllocated,1747028044810000000,1747028062724000000,0
FilePageCache.uncachedFileAccess,1747028044810000000,1747028062724000000,1029
DirectByteBufferAllocator.reclaimed,1747028044810000000,1747028062724000000,325
DirectByteBufferAllocator.disposed,1747028044810000000,1747028062724000000,440
FilePageCacheLockFree.totalPagesWritten,1747028044810000000,1747028062724000000,5
FilePageCacheLockFree.totalPagesHandedOver,1747028044810000000,1747028062724000000,0
FilePageCacheLockFree.totalPagesReadMs,1747028044810000000,1747028062724000000,2
FilePageCacheLockFree.totalPageAllocationsWaited,1747028044810000000,1747028062724000000,0
FilePageCache.pageHits,1747028044810000000,1747028062724000000,0
FilePageCacheLockFree.totalPagesWriteMs,1747028044810000000,1747028062724000000,0
FilePageCacheLockFree.nativeBytesInUse,1747028044810000000,1747028062724000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1747028044810000000,1747028062724000000,38
FilePageCacheLockFree.housekeeperTimeSpentMs,1747028044810000000,1747028062724000000,80
StorageLockContext.competingThreads.avg,1747028044810000000,1747028062724000000,0.0
FilePageCache.pageLoadsAboveSizeThreshold,1747028044810000000,1747028062724000000,271
FilePageCache.maxCacheSizeInBytes,1747028044810000000,1747028062724000000,503324672
FilePageCacheLockFree.totalHeapBytesReclaimed,1747028044810000000,1747028062724000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1747028044810000000,1747028062724000000,32768
FilePageCacheLockFree.housekeeperTurnsSkipped,1747028044810000000,1747028062724000000,16170
FilePageCache.capacityInBytes,1747028044810000000,1747028062724000000,503316478
FilePageCache.pageLoads,1747028044810000000,1747028062724000000,490
FilePageCacheLockFree.totalNativeBytesAllocated,1747028044810000000,1747028062724000000,32768
FileChannelInterruptsRetryer.totalRetriedAttempts,1747028044810000000,1747028062724000000,0
FilePageCacheLockFree.totalBytesRequested,1747028044810000000,1747028062724000000,794624
FilePageCacheLockFree.totalPagesAllocated,1747028044810000000,1747028062724000000,4
StorageLockContext.competingThreads.90P,1747028044810000000,1747028062724000000,0
FilePageCacheLockFree.totalPagesRequested,1747028044810000000,1747028062724000000,97
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747028044810000000,1747028062724000000,41992192
FilePageCache.pageFastCacheHits,1747028044810000000,1747028062724000000,379904
FilePageCache.maxRegisteredFiles,1747028044810000000,1747028062724000000,1347
DirectByteBufferAllocator.misses,1747028044810000000,1747028062724000000,486
FilePageCacheLockFree.heapBytesInUse,1747028044810000000,1747028062724000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1747028044810000000,1747028062724000000,4
FilePageCache.totalPageLoadsUs,1747028044810000000,1747028062724000000,435770
StorageLockContext.competingThreads.max,1747028044810000000,1747028062724000000,0
DirectByteBufferAllocator.hits,1747028044810000000,1747028062724000000,279
FilePageCacheLockFree.totalBytesRead,1747028044810000000,1747028062724000000,16673
FilePageCache.disposedBuffers,1747028044810000000,1747028062724000000,761
AWTEventQueue.dispatchTimeTotalNS,1747028044810000000,1747028062724000000,5117249210
NonBlockingReadAction.finalizedExecutionsCount,1747028044810000000,1747028062724000000,846
NonBlockingReadAction.finalizedExecutionTimeUs,1747028044810000000,1747028062724000000,14198876
NonBlockingReadAction.failedExecutionsCount,1747028044810000000,1747028062724000000,2
NonBlockingReadAction.failedExecutionTimeUs,1747028044810000000,1747028062724000000,22770
workspaceModel.save.cache.to.file.ms,1747028044810000000,1747028062724000000,73
workspaceModel.mutableEntityStorage.entities.ms,1747028044810000000,1747028062724000000,4
jps.facet.change.listener.before.change.events.ms,1747028044810000000,1747028062724000000,1
workspaceModel.load.cache.from.file.ms,1747028044810000000,1747028062724000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1747028044810000000,1747028062724000000,2
workspaceModel.sync.entities.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1747028044810000000,1747028062724000000,0
jps.module.iml.entities.serializer.save.entities.ms,1747028044810000000,1747028062724000000,19
workspaceModel.orphan.listener.update.ms,1747028044810000000,1747028062724000000,6
jps.global.handle.changed.events.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1747028044810000000,1747028062724000000,1
jps.artifact.entities.serializer.load.entities.ms,1747028044810000000,1747028062724000000,0
jps.modifiable.module.model.bridge.load.module.ms,1747028044810000000,1747028062724000000,0
jps.global.get.library.ms,1747028044810000000,1747028062724000000,0
jps.library.entities.serializer.save.entities.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1747028044810000000,1747028062724000000,22
workspaceModel.moduleManagerBridge.build.module.graph.ms,1747028044810000000,1747028062724000000,0
jps.storage.jps.conf.reader.load.component.ms,1747028044810000000,1747028062724000000,2
jps.app.storage.content.reader.load.component.ms,1747028044810000000,1747028062724000000,0
workspaceModel.global.apply.state.to.project.ms,1747028044810000000,1747028062724000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1747028044810000000,1747028062724000000,1
jps.project.serializers.load.ms,1747028044810000000,1747028062724000000,1
jps.reload.project.entities.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747028044810000000,1747028062724000000,0
jps.save.changed.project.entities.ms,1747028044810000000,1747028062724000000,30
jps.modifiable.module.model.bridge.new.module.ms,1747028044810000000,1747028062724000000,34
jps.project.serializers.save.ms,1747028044810000000,1747028062724000000,30
workspaceModel.moduleManagerBridge.create.module.instance.ms,1747028044810000000,1747028062724000000,16
jps.global.get.library.by.name.ms,1747028044810000000,1747028062724000000,0
workspaceModel.moduleBridge.before.changed.ms,1747028044810000000,1747028062724000000,0
jps.modifiable.module.model.bridge.disposing.ms,1747028044810000000,1747028062724000000,0
jps.global.handle.before.change.events.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1747028044810000000,1747028062724000000,3
jps.load.project.to.empty.storage.ms,1747028044810000000,1747028062724000000,31
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747028044810000000,1747028062724000000,3
jps.library.entities.serializer.load.entities.ms,1747028044810000000,1747028062724000000,0
jps.app.storage.content.writer.save.component.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1747028044810000000,1747028062724000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1747028044810000000,1747028062724000000,0
jps.facet.change.listener.init.bridge.ms,1747028044810000000,1747028062724000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1747028044810000000,1747028062724000000,0
workspaceModel.moduleBridge.update.option.ms,1747028044810000000,1747028062724000000,0
workspaceModel.global.updates.ms,1747028044810000000,1747028062724000000,0
workspaceModel.global.updates.count,1747028044810000000,1747028062724000000,0
jps.facet.change.listener.process.change.events.ms,1747028044810000000,1747028062724000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1747028044810000000,1747028062724000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1747028044810000000,1747028062724000000,84
jps.artifact.entities.serializer.save.entities.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747028044810000000,1747028062724000000,10
workspaceModel.mutableEntityStorage.add.diff.ms,1747028044810000000,1747028062724000000,11
jps.module.iml.entities.serializer.load.entities.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1747028044810000000,1747028062724000000,0
jps.apply.loaded.storage.ms,1747028044810000000,1747028062724000000,30
workspaceModel.moduleManagerBridge.newModule.ms,1747028044810000000,1747028062724000000,70
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747028044810000000,1747028062724000000,3
workspaceModel.load.cache.metadata.from.file.ms,1747028044810000000,1747028062724000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1747028044810000000,1747028062724000000,2
jps.global.initialize.library.bridges.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1747028044810000000,1747028062724000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1747028044810000000,1747028062724000000,0
jps.save.global.entities.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747028044810000000,1747028062724000000,0
jps.load.initial.state.ms,1747028044810000000,1747028062724000000,7
jps.global.get.libraries.ms,1747028044810000000,1747028062724000000,1
jps.global.initialize.library.bridges.after.loading.ms,1747028044810000000,1747028062724000000,0
jps.modifiable.module.model.bridge.renaming.ms,1747028044810000000,1747028062724000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1747028044810000000,1747028062724000000,0
