# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.queueSize90P,1747073418876000000,1747073430637000000,1319
NonBlockingReadAction.failedExecutionTimeUs,1747073418876000000,1747073430637000000,0
FlushQueue.waitingTime90PNs,1747073418876000000,1747073430637000000,6006243327
FlushQueue.queueSizeMax,1747073418876000000,1747073430637000000,1415
FlushQueue.waitingTimeAvgNs,1747073418876000000,1747073430637000000,2.2689225808379006E9
NonBlockingReadAction.finalizedExecutionsCount,1747073418876000000,1747073430637000000,7
FlushQueue.executionTimeMaxNs,1747073418876000000,1747073430637000000,130547711
AWTEventQueue.dispatchTime90PNs,1747073418876000000,1747073430637000000,45311
AWTEventQueue.dispatchTimeTotalNS,1747073418876000000,1747073430637000000,1963282525
AWTEventQueue.eventsDispatched,1747073418876000000,1747073430637000000,3217
FlushQueue.executionTime90PNs,1747073418876000000,1747073430637000000,110079
FlushQueue.waitingTimeMaxNs,1747073418876000000,1747073430637000000,7784628223
AWTEventQueue.dispatchTimeAvgNs,1747073418876000000,1747073430637000000,609584.8877836494
AWTEventQueue.dispatchTimeMaxNs,1747073418876000000,1747073430637000000,1375731711
FlushQueue.queueSizeAvg,1747073418876000000,1747073430637000000,656.1737111007895
FlushQueue.tasksExecuted,1747073418876000000,1747073430637000000,2153
ReadAction.executionsCount,1747073418876000000,1747073430637000000,137712
NonBlockingReadAction.failedExecutionsCount,1747073418876000000,1747073430637000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1747073418876000000,1747073430637000000,48875
FlushQueue.executionTimeAvgNs,1747073418876000000,1747073430637000000,245764.21458430096
WriteAction.executionsCount,1747073418876000000,1747073430637000000,6
FilePageCacheLockFree.totalPagesRequested,1747073418876000000,1747073430637000000,83
FilePageCacheLockFree.totalBytesWritten,1747073418876000000,1747073430637000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1747073418876000000,1747073430637000000,24576
StorageLockContext.competingThreads.avg,1747073418876000000,1747073430637000000,0.21739130434782608
FilePageCache.pageFastCacheHits,1747073418876000000,1747073430637000000,8276
DirectByteBufferAllocator.hits,1747073418876000000,1747073430637000000,3
FilePageCacheLockFree.housekeeperTurnsSkipped,1747073418876000000,1747073430637000000,10642
FilePageCache.capacityInBytes,1747073418876000000,1747073430637000000,503316478
FilePageCacheLockFree.totalPagesReadMs,1747073418876000000,1747073430637000000,2
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747073418876000000,1747073430637000000,41967616
