# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.update.unloaded.entities.ms,1747028022706000000,1747028033761000000,0
workspaceModel.updates.precise.ms,1747028022706000000,1747028033761000000,0
workspaceModel.to.snapshot.ms,1747028022706000000,1747028033761000000,0
workspaceModel.updates.ms,1747028022706000000,1747028033761000000,0
workspaceModel.collect.changes.ms,1747028022706000000,1747028033761000000,0
workspaceModel.loading.from.cache.ms,1747028022706000000,1747028033761000000,16
workspaceModel.loading.total.ms,1747028022706000000,1747028033761000000,22
workspaceModel.pre.handlers.ms,1747028022706000000,1747028033761000000,0
workspaceModel.check.recursive.update.ms,1747028022706000000,1747028033761000000,0
workspaceModel.initializing.ms,1747028022706000000,1747028033761000000,0
workspaceModel.updates.count,1747028022706000000,1747028033761000000,0
workspaceModel.init.bridges.ms,1747028022706000000,1747028033761000000,0
workspaceModel.replace.project.model.ms,1747028022706000000,1747028033761000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1747028022706000000,1747028033761000000,24576
MappedFileStorage.totalTimeSpentOnMappingUs,1747028022706000000,1747028033761000000,202926
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747028022706000000,1747028033761000000,41967616
FilePageCacheLockFree.housekeeperTurnsDone,1747028022706000000,1747028033761000000,24
FilePageCacheLockFree.totalBytesRead,1747028022706000000,1747028033761000000,0
FilePageCache.maxRegisteredFiles,1747028022706000000,1747028033761000000,1124
FilePageCacheLockFree.totalHeapBytesAllocated,1747028022706000000,1747028033761000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1747028022706000000,1747028033761000000,40
StorageLockContext.competingThreads.90P,1747028022706000000,1747028033761000000,0
StorageLockContext.competingThreads.avg,1747028022706000000,1747028033761000000,0.6190476190476191
FilePageCacheLockFree.totalPagesReclaimed,1747028022706000000,1747028033761000000,3
DirectByteBufferAllocator.reclaimed,1747028022706000000,1747028033761000000,46
FilePageCache.totalPageLoadsUs,1747028022706000000,1747028033761000000,281202
FilePageCacheLockFree.totalPagesRequestsMs,1747028022706000000,1747028033761000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747028022706000000,1747028033761000000,41967616
FilePageCache.totalPageDisposalsUs,1747028022706000000,1747028033761000000,1327
MappedFileStorage.totalPagesMapped,1747028022706000000,1747028033761000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1747028022706000000,1747028033761000000,10004
FilePageCacheLockFree.totalNativeBytesReclaimed,1747028022706000000,1747028033761000000,24576
FilePageCacheLockFree.totalPagesRequested,1747028022706000000,1747028033761000000,270
FilePageCache.maxCacheSizeInBytes,1747028022706000000,1747028033761000000,433061888
FilePageCacheLockFree.totalPagesReadMs,1747028022706000000,1747028033761000000,1
FilePageCache.pageLoadsAboveSizeThreshold,1747028022706000000,1747028033761000000,0
FilePageCacheLockFree.totalPagesWriteMs,1747028022706000000,1747028033761000000,0
FilePageCache.capacityInBytes,1747028022706000000,1747028033761000000,503316478
FilePageCacheLockFree.totalPagesAllocated,1747028022706000000,1747028033761000000,3
FilePageCacheLockFree.nativeBytesInUse,1747028022706000000,1747028033761000000,0
FilePageCache.disposedBuffers,1747028022706000000,1747028033761000000,416
FilePageCache.uncachedFileAccess,1747028022706000000,1747028033761000000,667
DirectByteBufferAllocator.disposed,1747028022706000000,1747028033761000000,373
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747028022706000000,1747028033761000000,2
DirectByteBufferAllocator.misses,1747028022706000000,1747028033761000000,416
FilePageCacheLockFree.totalBytesRequested,1747028022706000000,1747028033761000000,2211840
FilePageCacheLockFree.totalBytesWritten,1747028022706000000,1747028033761000000,16673
DirectByteBufferAllocator.hits,1747028022706000000,1747028033761000000,3
FilePageCacheLockFree.totalPageAllocationsWaited,1747028022706000000,1747028033761000000,0
FilePageCache.pageLoads,1747028022706000000,1747028033761000000,416
FilePageCache.pageFastCacheHits,1747028022706000000,1747028033761000000,28982
MappedFileStorage.storages,1747028022706000000,1747028033761000000,0
FilePageCacheLockFree.heapBytesInUse,1747028022706000000,1747028033761000000,0
FilePageCache.pageHits,1747028022706000000,1747028033761000000,0
MappedFileStorage.totalBytesMapped,1747028022706000000,1747028033761000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1747028022706000000,1747028033761000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1747028022706000000,1747028033761000000,0
FilePageCacheLockFree.totalPagesWritten,1747028022706000000,1747028033761000000,3
StorageLockContext.competingThreads.max,1747028022706000000,1747028033761000000,13
FilePageCacheLockFree.totalPagesHandedOver,1747028022706000000,1747028033761000000,0
AWTEventQueue.eventsDispatched,1747028022706000000,1747028033761000000,3223
ReadAction.executionsCount,1747028022706000000,1747028033761000000,137712
FlushQueue.queueSizeMax,1747028022706000000,1747028033761000000,1375
AWTEventQueue.dispatchTimeMaxNs,1747028022706000000,1747028033761000000,935329791
FlushQueue.waitingTimeAvgNs,1747028022706000000,1747028033761000000,1.767551537888E9
WriteAction.executionsCount,1747028022706000000,1747028033761000000,6
FlushQueue.queueSize90P,1747028022706000000,1747028033761000000,1295
AWTEventQueue.dispatchTimeAvgNs,1747028022706000000,1747028033761000000,445811.2466645982
FlushQueue.queueSizeAvg,1747028022706000000,1747028033761000000,622.8813333333334
FlushQueue.tasksExecuted,1747028022706000000,1747028033761000000,2250
NonBlockingReadAction.finalizedExecutionTimeUs,1747028022706000000,1747028033761000000,41388
NonBlockingReadAction.failedExecutionsCount,1747028022706000000,1747028033761000000,0
FlushQueue.executionTimeMaxNs,1747028022706000000,1747028033761000000,90177535
FlushQueue.executionTime90PNs,1747028022706000000,1747028033761000000,101375
AWTEventQueue.dispatchTime90PNs,1747028022706000000,1747028033761000000,59903
FlushQueue.executionTimeAvgNs,1747028022706000000,1747028033761000000,180769.83377777776
FlushQueue.waitingTimeMaxNs,1747028022706000000,1747028033761000000,7180648447
NonBlockingReadAction.failedExecutionTimeUs,1747028022706000000,1747028033761000000,0
NonBlockingReadAction.finalizedExecutionsCount,1747028022706000000,1747028033761000000,7
AWTEventQueue.dispatchTimeTotalNS,1747028022706000000,1747028033761000000,1435118867
FlushQueue.waitingTime90PNs,1747028022706000000,1747028033761000000,5268045823
jps.save.global.entities.ms,1747028022706000000,1747028033761000000,0
jps.global.initialize.library.bridges.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.entities.ms,1747028022706000000,1747028033761000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747028022706000000,1747028033761000000,0
jps.app.storage.content.reader.load.component.ms,1747028022706000000,1747028033761000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1747028022706000000,1747028033761000000,0
jps.global.get.library.by.name.ms,1747028022706000000,1747028033761000000,0
jps.global.handle.before.change.events.ms,1747028022706000000,1747028033761000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1747028022706000000,1747028033761000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747028022706000000,1747028033761000000,0
jps.library.entities.serializer.load.entities.ms,1747028022706000000,1747028033761000000,0
jps.global.get.library.ms,1747028022706000000,1747028033761000000,0
jps.library.entities.serializer.save.entities.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747028022706000000,1747028033761000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1747028022706000000,1747028033761000000,0
jps.global.initialize.library.bridges.after.loading.ms,1747028022706000000,1747028033761000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747028022706000000,1747028033761000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1747028022706000000,1747028033761000000,0
jps.global.get.libraries.ms,1747028022706000000,1747028033761000000,9
workspaceModel.mutableEntityStorage.add.entity.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1747028022706000000,1747028033761000000,0
workspaceModel.save.cache.to.file.ms,1747028022706000000,1747028033761000000,0
workspaceModel.load.cache.from.file.ms,1747028022706000000,1747028033761000000,0
jps.global.handle.changed.events.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1747028022706000000,1747028033761000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1747028022706000000,1747028033761000000,0
workspaceModel.global.updates.count,1747028022706000000,1747028033761000000,0
workspaceModel.load.cache.metadata.from.file.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1747028022706000000,1747028033761000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1747028022706000000,1747028033761000000,0
workspaceModel.global.updates.ms,1747028022706000000,1747028033761000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1747028022706000000,1747028033761000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1747028022706000000,1747028033761000000,0
workspaceModel.sync.entities.ms,1747028022706000000,1747028033761000000,0
workspaceModel.global.apply.state.to.project.ms,1747028022706000000,1747028033761000000,0
jps.load.initial.state.ms,1747028022706000000,1747028033761000000,4
