# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTimeAvgNs,1747172488129000000,1747172498932000000,1.7308617440977314E9
FlushQueue.queueSizeMax,1747172488129000000,1747172498932000000,1287
FlushQueue.executionTimeMaxNs,1747172488129000000,1747172498932000000,104333311
FlushQueue.queueSizeAvg,1747172488129000000,1747172498932000000,603.4698952879581
AWTEventQueue.dispatchTimeAvgNs,1747172488129000000,1747172498932000000,430865.5149501661
AWTEventQueue.dispatchTime90PNs,1747172488129000000,1747172498932000000,54015
FlushQueue.executionTime90PNs,1747172488129000000,1747172498932000000,119807
AWTEventQueue.dispatchTimeMaxNs,1747172488129000000,1747172498932000000,834666495
FlushQueue.queueSize90P,1747172488129000000,1747172498932000000,1215
WriteAction.executionsCount,1747172488129000000,1747172498932000000,6
AWTEventQueue.dispatchTimeTotalNS,1747172488129000000,1747172498932000000,1428821944
NonBlockingReadAction.failedExecutionsCount,1747172488129000000,1747172498932000000,0
FlushQueue.tasksExecuted,1747172488129000000,1747172498932000000,2292
NonBlockingReadAction.failedExecutionTimeUs,1747172488129000000,1747172498932000000,0
ReadAction.executionsCount,1747172488129000000,1747172498932000000,137311
AWTEventQueue.eventsDispatched,1747172488129000000,1747172498932000000,3311
FlushQueue.waitingTime90PNs,1747172488129000000,1747172498932000000,5200936959
FlushQueue.waitingTimeMaxNs,1747172488129000000,1747172498932000000,7079985151
NonBlockingReadAction.finalizedExecutionTimeUs,1747172488129000000,1747172498932000000,54752
NonBlockingReadAction.finalizedExecutionsCount,1747172488129000000,1747172498932000000,7
FlushQueue.executionTimeAvgNs,1747172488129000000,1747172498932000000,202286.1404886562
workspaceModel.updates.count,1747172488129000000,1747172498932000000,0
workspaceModel.to.snapshot.ms,1747172488129000000,1747172498932000000,0
workspaceModel.initializing.ms,1747172488129000000,1747172498932000000,0
workspaceModel.init.bridges.ms,1747172488129000000,1747172498932000000,0
workspaceModel.replace.project.model.ms,1747172488129000000,1747172498932000000,0
workspaceModel.loading.from.cache.ms,1747172488129000000,1747172498932000000,17
workspaceModel.check.recursive.update.ms,1747172488129000000,1747172498932000000,0
workspaceModel.pre.handlers.ms,1747172488129000000,1747172498932000000,0
workspaceModel.loading.total.ms,1747172488129000000,1747172498932000000,23
workspaceModel.update.unloaded.entities.ms,1747172488129000000,1747172498932000000,0
workspaceModel.updates.ms,1747172488129000000,1747172498932000000,0
workspaceModel.updates.precise.ms,1747172488129000000,1747172498932000000,0
workspaceModel.collect.changes.ms,1747172488129000000,1747172498932000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1747172488129000000,1747172498932000000,0
FilePageCacheLockFree.totalPagesAllocated,1747172488129000000,1747172498932000000,3
StorageLockContext.competingThreads.avg,1747172488129000000,1747172498932000000,0.0
FilePageCacheLockFree.housekeeperTimeSpentMs,1747172488129000000,1747172498932000000,47
FilePageCache.pageLoads,1747172488129000000,1747172498932000000,416
FileChannelInterruptsRetryer.totalRetriedAttempts,1747172488129000000,1747172498932000000,0
StorageLockContext.competingThreads.max,1747172488129000000,1747172498932000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1747172488129000000,1747172498932000000,0
FilePageCacheLockFree.heapBytesInUse,1747172488129000000,1747172498932000000,0
FilePageCacheLockFree.totalPagesRequested,1747172488129000000,1747172498932000000,83
FilePageCache.maxCacheSizeInBytes,1747172488129000000,1747172498932000000,433061888
FilePageCacheLockFree.totalBytesRead,1747172488129000000,1747172498932000000,17012
FilePageCache.disposedBuffers,1747172488129000000,1747172498932000000,416
DirectByteBufferAllocator.hits,1747172488129000000,1747172498932000000,3
FilePageCacheLockFree.totalPagesWritten,1747172488129000000,1747172498932000000,0
