# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.save.global.entities.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747172375447000000,1747172388784000000,0
jps.global.get.libraries.ms,1747172375447000000,1747172388784000000,11
workspaceModel.mutableEntityStorage.collect.changes.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1747172375447000000,1747172388784000000,0
jps.global.handle.changed.events.ms,1747172375447000000,1747172388784000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1747172375447000000,1747172388784000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1747172375447000000,1747172388784000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1747172375447000000,1747172388784000000,0
workspaceModel.global.updates.count,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747172375447000000,1747172388784000000,0
workspaceModel.save.cache.to.file.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1747172375447000000,1747172388784000000,0
jps.library.entities.serializer.load.entities.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1747172375447000000,1747172388784000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747172375447000000,1747172388784000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1747172375447000000,1747172388784000000,0
jps.global.handle.before.change.events.ms,1747172375447000000,1747172388784000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747172375447000000,1747172388784000000,0
workspaceModel.load.cache.metadata.from.file.ms,1747172375447000000,1747172388784000000,0
workspaceModel.global.apply.state.to.project.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.entities.ms,1747172375447000000,1747172388784000000,0
jps.global.initialize.library.bridges.ms,1747172375447000000,1747172388784000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1747172375447000000,1747172388784000000,1
jps.global.get.library.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1747172375447000000,1747172388784000000,0
workspaceModel.sync.entities.ms,1747172375447000000,1747172388784000000,0
jps.library.entities.serializer.save.entities.ms,1747172375447000000,1747172388784000000,0
jps.app.storage.content.reader.load.component.ms,1747172375447000000,1747172388784000000,1
jps.global.initialize.library.bridges.after.loading.ms,1747172375447000000,1747172388784000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1747172375447000000,1747172388784000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1747172375447000000,1747172388784000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1747172375447000000,1747172388784000000,0
jps.load.initial.state.ms,1747172375447000000,1747172388784000000,4
workspaceModel.mutableEntityStorage.remove.entity.ms,1747172375447000000,1747172388784000000,0
jps.global.get.library.by.name.ms,1747172375447000000,1747172388784000000,0
workspaceModel.global.updates.ms,1747172375447000000,1747172388784000000,0
workspaceModel.load.cache.from.file.ms,1747172375447000000,1747172388784000000,0
workspaceModel.check.recursive.update.ms,1747172375447000000,1747172388784000000,0
workspaceModel.updates.precise.ms,1747172375447000000,1747172388784000000,0
workspaceModel.update.unloaded.entities.ms,1747172375447000000,1747172388784000000,0
workspaceModel.collect.changes.ms,1747172375447000000,1747172388784000000,0
workspaceModel.initializing.ms,1747172375447000000,1747172388784000000,0
workspaceModel.loading.total.ms,1747172375447000000,1747172388784000000,42
workspaceModel.loading.from.cache.ms,1747172375447000000,1747172388784000000,26
workspaceModel.init.bridges.ms,1747172375447000000,1747172388784000000,0
workspaceModel.pre.handlers.ms,1747172375447000000,1747172388784000000,0
workspaceModel.updates.count,1747172375447000000,1747172388784000000,0
workspaceModel.to.snapshot.ms,1747172375447000000,1747172388784000000,0
workspaceModel.replace.project.model.ms,1747172375447000000,1747172388784000000,0
workspaceModel.updates.ms,1747172375447000000,1747172388784000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747172375447000000,1747172388784000000,41967616
FilePageCache.disposedBuffers,1747172375447000000,1747172388784000000,416
DirectByteBufferAllocator.disposed,1747172375447000000,1747172388784000000,373
FilePageCacheLockFree.totalBytesRequested,1747172375447000000,1747172388784000000,679936
MappedFileStorage.totalBytesMapped,1747172375447000000,1747172388784000000,0
DirectByteBufferAllocator.hits,1747172375447000000,1747172388784000000,3
FilePageCacheLockFree.totalBytesWritten,1747172375447000000,1747172388784000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1747172375447000000,1747172388784000000,11914
FilePageCache.pageHits,1747172375447000000,1747172388784000000,0
FilePageCache.totalPageDisposalsUs,1747172375447000000,1747172388784000000,1642
StorageLockContext.competingThreads.avg,1747172375447000000,1747172388784000000,0.0
FilePageCacheLockFree.totalPagesWriteMs,1747172375447000000,1747172388784000000,0
FilePageCacheLockFree.totalBytesRead,1747172375447000000,1747172388784000000,17012
FilePageCacheLockFree.totalPageAllocationsWaited,1747172375447000000,1747172388784000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1747172375447000000,1747172388784000000,474
FilePageCache.capacityInBytes,1747172375447000000,1747172388784000000,503316478
FilePageCache.pageLoadsAboveSizeThreshold,1747172375447000000,1747172388784000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747172375447000000,1747172388784000000,2
FilePageCacheLockFree.heapBytesInUse,1747172375447000000,1747172388784000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747172375447000000,1747172388784000000,41967616
FilePageCacheLockFree.totalPagesWritten,1747172375447000000,1747172388784000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1747172375447000000,1747172388784000000,24576
DirectByteBufferAllocator.misses,1747172375447000000,1747172388784000000,416
FilePageCache.totalPageLoadsUs,1747172375447000000,1747172388784000000,252969
FilePageCache.pageFastCacheHits,1747172375447000000,1747172388784000000,8276
FilePageCacheLockFree.totalPagesReadMs,1747172375447000000,1747172388784000000,1
FilePageCache.maxRegisteredFiles,1747172375447000000,1747172388784000000,1124
FileChannelInterruptsRetryer.totalRetriedAttempts,1747172375447000000,1747172388784000000,0
FilePageCacheLockFree.totalPagesRequested,1747172375447000000,1747172388784000000,83
FilePageCache.maxCacheSizeInBytes,1747172375447000000,1747172388784000000,433061888
StorageLockContext.competingThreads.max,1747172375447000000,1747172388784000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1747172375447000000,1747172388784000000,0
StorageLockContext.competingThreads.90P,1747172375447000000,1747172388784000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1747172375447000000,1747172388784000000,4
FilePageCacheLockFree.totalHeapBytesAllocated,1747172375447000000,1747172388784000000,0
MappedFileStorage.storages,1747172375447000000,1747172388784000000,0
FilePageCache.pageLoads,1747172375447000000,1747172388784000000,416
FilePageCacheLockFree.housekeeperTimeSpentMs,1747172375447000000,1747172388784000000,69
FilePageCacheLockFree.nativeBytesInUse,1747172375447000000,1747172388784000000,0
DirectByteBufferAllocator.reclaimed,1747172375447000000,1747172388784000000,46
FilePageCache.uncachedFileAccess,1747172375447000000,1747172388784000000,222
FilePageCacheLockFree.totalPagesReclaimed,1747172375447000000,1747172388784000000,3
FilePageCacheLockFree.totalPagesAllocated,1747172375447000000,1747172388784000000,3
FilePageCacheLockFree.totalNativeBytesAllocated,1747172375447000000,1747172388784000000,24576
FilePageCacheLockFree.housekeeperTurnsDone,1747172375447000000,1747172388784000000,29
FilePageCacheLockFree.totalPagesHandedOver,1747172375447000000,1747172388784000000,0
MappedFileStorage.totalPagesMapped,1747172375447000000,1747172388784000000,0
WriteAction.executionsCount,1747172375447000000,1747172388784000000,6
FlushQueue.queueSize90P,1747172375447000000,1747172388784000000,0
FlushQueue.waitingTime90PNs,1747172375447000000,1747172388784000000,0
NonBlockingReadAction.failedExecutionTimeUs,1747172375447000000,1747172388784000000,0
FlushQueue.waitingTimeAvgNs,1747172375447000000,1747172388784000000,0.0
AWTEventQueue.dispatchTime90PNs,1747172375447000000,1747172388784000000,0
AWTEventQueue.eventsDispatched,1747172375447000000,1747172388784000000,0
FlushQueue.waitingTimeMaxNs,1747172375447000000,1747172388784000000,0
FlushQueue.queueSizeMax,1747172375447000000,1747172388784000000,0
ReadAction.executionsCount,1747172375447000000,1747172388784000000,137311
FlushQueue.executionTime90PNs,1747172375447000000,1747172388784000000,0
FlushQueue.queueSizeAvg,1747172375447000000,1747172388784000000,0.0
FlushQueue.executionTimeMaxNs,1747172375447000000,1747172388784000000,0
FlushQueue.tasksExecuted,1747172375447000000,1747172388784000000,0
FlushQueue.executionTimeAvgNs,1747172375447000000,1747172388784000000,0.0
NonBlockingReadAction.failedExecutionsCount,1747172375447000000,1747172388784000000,0
NonBlockingReadAction.finalizedExecutionsCount,1747172375447000000,1747172388784000000,7
